taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#FPS,#Objname
2691156,809,0.595718491,9.265343081,0.49688933,0,24.8664592,airplane
2773838,17,0.468232753,13.56358245,0.975065062,0,24.82894791,bag
2801938,23,0.408653774,15.77142492,1.276558661,0,24.80918251,basket
2808440,172,0.436613229,14.85718958,1.235699152,0,24.88744249,bathtub
2818832,47,0.432954713,16.79791509,1.72764859,0,24.80940583,bed
2828884,363,0.547105661,10.47335052,0.6343178,0,24.83021105,bench
2843684,15,0.406776787,20.05067425,2.255557334,0,24.96673275,birdhouse
2871439,91,0.424337027,15.51862478,1.274364239,0,24.86796283,bookshelf
2876657,100,0.506153269,12.42995212,0.953584266,0,24.87817066,bottle
2880940,38,0.407706703,15.97683673,1.356259571,0,24.87315873,bowl
2924116,188,0.504245861,10.97236687,0.608979696,0,24.83597909,bus
2933112,315,0.433299368,13.55646671,0.877597817,0,24.82665511,cabinet
2942699,23,0.397187528,21.3538033,2.625955465,0,24.91361462,camera
2946921,22,0.433104185,15.28066072,1.690862721,0,24.91341947,can
2954340,12,0.427375205,13.86648663,0.863602325,0,24.75469527,cap
2958343,703,0.411130405,14.55488916,0.969108959,0,24.89105421,car
2992529,167,0.547734669,9.221014862,0.384308723,0,24.85246342,cellphone
3001627,1356,0.467272075,14.26985453,1.128973841,0,24.85600558,chair
3046257,131,0.458941433,14.38968087,1.254247552,0,24.82939897,clock
3207941,19,0.429771878,14.78823868,1.185161253,0,24.90950022,dishwasher
3211117,219,0.489690736,12.66660723,0.91970444,0,24.85001832,display
3261776,15,0.411546908,17.78271014,1.772466099,0,24.95885901,earphone
3325088,149,0.459082897,16.36156283,1.873851995,0,24.80839435,faucet
3337140,60,0.425743491,14.91192222,1.13429322,0,24.81086183,file cabinet
3991062,121,0.406918101,18.56777205,1.942595184,0,24.90601713,flowerpot
3467517,160,0.768703729,6.363947967,0.236552229,0,24.87196821,guitar
3513137,33,0.389884555,20.72848135,2.397947631,0,24.90501141,helmet
3593526,120,0.414292511,18.15944275,1.985765411,0,24.86216049,jar
3085013,13,0.561091955,8.793624915,0.336007119,0,24.75191266,keyboard
3624134,85,0.682586049,7.785234555,0.391633573,0,24.8655015,knife
3636649,464,0.522004971,15.02991388,1.725583089,0,24.8542024,lamp
3642806,92,0.510320557,10.54447357,0.551164313,0,24.83589488,laptop
3691459,320,0.425865692,16.7982766,1.601884838,0,24.84933284,loudspeaker
3710193,19,0.525953453,14.92286662,1.742913914,0,24.80489547,mailbox
3759954,14,0.501487306,16.32793713,2.08383233,0,24.75906136,microphone
3761084,31,0.422340596,15.34166798,1.199420467,0,24.82648201,microwaves
3790512,68,0.407104934,15.87219331,1.257279266,0,24.76850476,motorbike
3797390,43,0.394638765,16.95253909,1.497798996,0,24.91092653,mug
3928116,48,0.446732249,15.38764261,1.366711772,0,24.81305829,piano
3938244,20,0.433376807,14.38881927,1.004823594,0,24.85884181,pillow
3948459,62,0.517524922,11.73088231,0.830898357,0,24.86716581,pistol
4004475,34,0.421201233,18.30527757,1.957988624,0,24.84833749,printer
4074963,14,0.547169138,9.924889428,0.5234092,0,24.87218422,remote
4090263,475,0.659055061,8.865428447,0.506271813,0,24.84956843,rifle
4099429,17,0.652108247,9.303084598,0.5612321,0,24.77129884,rocket
4225987,31,0.605825411,8.673864518,0.424142052,0,24.91162978,skateboard
4256520,635,0.456642072,13.11412873,0.83408012,0,24.85640286,sofa
4330267,44,0.440380094,15.95369818,1.457772342,0,24.81641442,stove
4379243,1687,0.521472236,11.72619778,0.877784818,0,24.85288336,table
4401088,218,0.550483438,9.237484851,0.421796607,0,24.8190904,telephone
4460130,27,0.479492127,15.01714821,1.3560648,0,24.81061198,tower
4468005,78,0.508671801,11.5426521,0.755402659,0,24.88286734,train
2747177,69,0.398364226,16.45547024,1.365288386,0,24.93896298,trash bin
4554684,34,0.414061061,18.22194722,1.874022489,0,24.81449808,washer
4530566,388,0.547670443,11.06553246,0.739913542,0,24.83050751,watercraft
overall,55,0.48105096,14.00170325,1.192600723,0,24.85117798,
