taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#Objname
2747177,100,0.392433062,16.93411159,1.364722856,0,trash bin
3624134,100,0.674978807,8.048717043,0.437634898,0,knife
4379243,100,0.5159888,11.83996758,0.833373484,0,table
2871439,100,0.410311243,16.47821447,1.405934988,0,bookshelf
4256520,100,0.434951804,14.10484524,0.900569884,0,sofa
2691156,100,0.556667147,10.51992347,0.643320729,0,airplane
3691459,100,0.408748209,17.74959097,1.684944113,0,loudspeaker
4530566,100,0.52123675,11.83113298,0.821951094,0,watercraft
2958343,100,0.409866588,14.59685619,0.940654948,0,car
3211117,100,0.455632055,13.60978349,0.92886729,0,display
3636649,100,0.522120602,14.4584701,1.454207478,0,lamp
3001627,100,0.455073322,15.08480873,1.239047039,0,chair
4401088,100,0.522559653,10.47170096,0.595553378,0,telephone
3928116,100,0.428572014,16.26684694,1.418239975,0,piano
3467517,100,0.735815385,7.008966489,0.287421056,0,guitar
3593526,100,0.408200538,18.32493044,1.948326063,0,jar
2876657,100,0.490739814,13.00013501,0.997585381,0,bottle
3991062,100,0.402912326,17.80487999,1.648307731,0,flowerpot
2933112,100,0.422356364,14.30506404,0.951744256,0,cabinet
2924116,100,0.496816898,11.20574088,0.603049311,0,bus
2808440,100,0.425697259,14.65374205,1.08009757,0,bathtub
2828884,100,0.52649671,11.15137833,0.701586007,0,bench
4468005,100,0.510327176,11.55008819,0.72990726,0,train
2992529,100,0.523021048,9.787112412,0.408547398,0,cellphone
3642806,100,0.498304472,10.48847144,0.478586328,0,laptop
4090263,100,0.662374423,8.83128273,0.497497932,0,rifle
2818832,100,0.424525811,16.17389695,1.419051645,0,bed
3325088,100,0.449968896,16.51297215,1.713694364,0,faucet
3046257,100,0.438832538,15.03102788,1.204608524,0,clock
3948459,100,0.517291586,11.43019981,0.712485929,0,pistol
3790512,100,0.410400872,16.07023206,1.356029249,0,motorbike
3337140,100,0.421067013,15.07664921,1.112343902,0,file cabinet
3797390,100,0.390124069,17.159343,1.50272848,0,mug
4330267,100,0.438227585,15.49633339,1.323638959,0,stove
overall,34,0.479489436,13.61933577,1.039595868,0,
