taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#Objname
2747177,100,0.436495328,13.37546799,0.824462521,0,trash bin
3624134,100,0.801743074,5.982737851,0.216522562,0,knife
4379243,100,0.57557513,9.748996053,0.546277136,0,table
2871439,100,0.467349189,12.48810984,0.752499704,0,bookshelf
4256520,100,0.489038406,11.46115057,0.573738753,0,sofa
2691156,100,0.664565243,8.177942481,0.351939918,0,airplane
3691459,100,0.459111301,13.8787159,0.985187011,0,loudspeaker
4530566,100,0.631408806,8.961254749,0.459074592,0,watercraft
2958343,100,0.460866388,12.05957375,0.648465743,0,car
3211117,100,0.516982288,11.0172003,0.58726833,0,display
3636649,100,0.655921989,9.696129062,0.662461612,0,lamp
3001627,100,0.542555703,11.06032639,0.647918666,0,chair
4401088,100,0.584849203,8.680840678,0.342048297,0,telephone
3928116,100,0.487184097,12.39768011,0.775281293,0,piano
3467517,100,0.841274759,5.461834209,0.169406228,0,guitar
3593526,100,0.468396471,13.75236043,1.022004979,0,jar
2876657,100,0.58410601,9.362994671,0.460573066,0,bottle
3991062,100,0.462486183,13.6477368,0.943656013,0,flowerpot
2933112,100,0.461448554,11.9181899,0.614818278,0,cabinet
2924116,100,0.561775788,9.312298388,0.41825101,0,bus
2808440,100,0.485317546,11.5677444,0.612326815,0,bathtub
2828884,100,0.601092399,8.843789706,0.377837857,0,bench
4468005,100,0.591798024,9.501957688,0.506954316,0,train
2992529,100,0.580722929,8.554691758,0.304700547,0,cellphone
3642806,100,0.548025393,8.976745467,0.30833694,0,laptop
4090263,100,0.767789502,6.961454506,0.291579625,0,rifle
2818832,100,0.484061773,12.60089417,0.860127118,0,bed
3325088,100,0.577525705,11.59475242,0.816433349,0,faucet
3046257,100,0.495905172,11.98635502,0.717065304,0,clock
3948459,100,0.619831111,9.020140901,0.423180024,0,pistol
3790512,100,0.484524509,12.73351831,0.817365631,0,motorbike
3337140,100,0.466109074,12.31793295,0.724041515,0,file cabinet
3797390,100,0.43232688,13.67098303,0.903949599,0,mug
4330267,100,0.503468468,11.99370751,0.794010608,0,stove
overall,34,0.55269507,10.66959435,0.601757793,0,
